"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 11, 2008","451.21","474.69","476.36","447.43","-","-5.29%"
"Dec 10, 2008","476.40","468.95","481.72","467.60","-","2.30%"
"Dec 09, 2008","465.71","478.24","491.78","462.81","-","-3.26%"
"Dec 08, 2008","481.38","465.45","483.66","465.31","-","4.40%"
"Dec 05, 2008","461.09","437.81","461.09","423.70","-","4.91%"
"Dec 04, 2008","439.53","451.99","461.97","432.40","-","-3.14%"
"Dec 03, 2008","453.76","435.11","456.48","430.86","-","2.70%"
"Dec 02, 2008","441.82","420.76","441.83","419.78","-","5.93%"
"Dec 01, 2008","417.07","466.53","466.54","415.99","-","-11.85%"
"Nov 28, 2008","473.14","467.74","473.14","461.56","-","0.91%"
"Nov 26, 2008","468.86","437.86","468.86","433.58","-","5.79%"
"Nov 25, 2008","443.18","438.78","443.18","426.71","-","1.46%"
"Nov 24, 2008","436.80","407.46","438.98","407.46","-","7.44%"
"Nov 21, 2008","406.54","389.58","406.75","371.30","-","5.51%"
"Nov 20, 2008","385.31","411.66","417.35","384.58","-","-6.56%"
"Nov 19, 2008","412.38","446.26","448.81","412.38","-","-7.85%"
"Nov 18, 2008","447.51","452.24","458.15","431.46","-","-0.84%"
"Nov 17, 2008","451.30","457.35","463.96","449.39","-","-1.14%"
"Nov 14, 2008","456.52","485.75","486.44","456.15","-","-7.07%"
"Nov 13, 2008","491.23","454.10","491.71","433.35","-","8.49%"
"Nov 12, 2008","452.80","478.71","480.09","452.80","-","-6.11%"
"Nov 11, 2008","482.29","490.76","497.43","480.82","-","-2.19%"
"Nov 10, 2008","493.10","511.71","515.19","490.06","-","-2.51%"
"Nov 07, 2008","505.79","499.24","509.06","494.26","-","2.01%"
"Nov 06, 2008","495.84","514.46","514.56","495.84","-","-3.65%"
"Nov 05, 2008","514.64","542.16","542.84","513.58","-","-5.74%"
"Nov 04, 2008","545.97","543.63","551.02","534.85","-","1.39%"
"Nov 03, 2008","538.50","536.50","544.62","534.65","-","0.18%"
"Oct 31, 2008","537.52","512.07","539.58","506.33","-","4.54%"
"Oct 30, 2008","514.18","498.23","514.18","496.44","-","4.75%"
"Oct 29, 2008","490.88","483.42","506.03","480.31","-","1.73%"
"Oct 28, 2008","482.55","448.39","482.72","441.92","-","7.62%"
