,Date,US30_relative_change_perc_1,US30_F_relative_change_perc_1,Gold_F_relative_change_perc_1,Silver_F_relative_change_perc_1,Copper_F_relative_change_perc_1,USDHKD_relative_change_perc_1,US30_AD_oscillator,US30_momentum_4,US30_momentum_16,US30_stochastic_K_5,US30_stochastic_K_10,US30_stochastic_K_20,US30_stochastic_K_50,US30_stochastic_D_5_5,US30_williams_R_5,US30_williams_R_10,US30_williams_R_20,US30_williams_R_50
223,2010-05-20,-0.0356506238859179,-0.03565065803337108,0.007036880033912636,0.010219811590065776,-0.030062768417575218,0.00034615828408055547,-0.011097772442314763,-552.1499999999996,-977.2600000000003,0.003704273193642123,0.003099741493256175,0.14289212685196487,0.14289212685196487,0.2379042504865688,5.736034459550416,0.8036014809828346,8.106174134572104,7.091537132987878
224,2010-05-21,0.012863761969727446,0.012867774918272241,-0.0056664411366712155,-0.0061443066516346226,0.033886818027787216,3.84506933941951e-05,0.4666261485109578,-432.4400000000005,-973.9300000000003,0.3431953402329876,0.2741724499475755,0.2331981647807884,0.2331981647807884,0.2188935731004023,2.4121560574948693,1.141584539347125,10.123512351235146,3.9978026177510313
225,2010-05-24,-0.012448177556982559,-0.012449109726786643,0.008277027027026991,0.003459821428571295,0.0057729313662605,-0.00010253649658424166,0.021010157228332,-444.380000000001,-942.0400000000008,0.18467826608669544,0.14753607269459273,0.14597106519225558,0.1418549542995837,0.17744588024888694,2.642834911742475,1.7112704279289341,16.933484934621813,11.542207144282465
226,2010-05-25,-0.00175720548669526,-0.001749259546385231,0.0018400802944128851,-0.00931399888455112,-0.00849673202614387,0.0001025509550057572,-0.017097290897694302,-400.62000000000086,-1108.08,0.3599673814234535,0.23500816030860824,0.1891671642839582,0.18150627220211274,0.21850649682394707,2.8526578213470843,4.3919961936984215,4.782897146811014,8.149294245385425
227,2010-05-26,-0.007034268415179111,-0.007028302356372795,0.0,0.015094339622641622,-0.00032552083333329754,-0.003319916937985494,0.5976584934835452,-93.55999999999949,-952.3199999999997,0.30037702972676805,0.1745258729784699,0.14048263022937305,0.13479336447527254,0.2383844581327093,2.769988881026979,5.598933684778036,9.758440869718825,9.981134692745147
228,2010-05-27,0.028807438629004218,0.028811536648715788,0.00016505735743174504,0.008303742146954441,0.03651315789473676,0.0014531893004115625,0.9906999008445272,65.60000000000036,-609.130000000001,0.9893612676631526,0.4814910511095432,0.34037725245003336,0.3265926540076709,0.43551585702661133,0.4834467120181407,4.450666307713023,6.027299588900298,6.236094094584737
229,2010-05-28,-0.011831741080132656,-0.011834665626827806,0.0014871116986119911,-0.01016129032258084,-0.013065646908859122,0.00017979605989781034,-0.0061073411474384925,70.05999999999949,-383.6900000000005,0.7395042064853361,0.3834791079861912,0.2580904938034048,0.2441137017788649,0.5147776302770811,0.2213006327982598,2.645256673511297,5.3536117836965404,11.591226499552311
230,2010-06-01,-0.010846719045109806,-0.010844788284865613,0.006409202958093636,0.001891380707916787,-0.01483870967741944,0.000642178268687488,0.3996478012033489,-19.729999999999567,-356.40999999999985,0.5095564812545951,0.2642368538088488,0.18148363636363696,0.16820691189258105,0.5797532733106611,1.1993182134409328,2.832021697567913,6.864104242280012,6.332590706556313
231,2010-06-02,0.02233579802126756,0.022332827960421284,-0.003510490652298295,-0.0038639455782311814,0.000660066006600734,0.00032089954560617957,1.00695507633087,275.0900000000001,-535.5999999999984,0.9529404211607608,0.6350729907491588,0.4052341104315418,0.32022271204492064,0.6983478812581225,-0.6542238317431605,1.9830981154398717,3.2114334653677337,4.884152719665218
232,2010-06-03,0.00044972670079132217,0.0004487498414740988,-0.012584783852251443,-0.004997223764575228,-0.03577289136855923,6.417331930073194e-05,0.4684356944147148,-3.709999999999127,-492.9799999999996,0.8255211366018442,0.7222147116698984,0.4196231421115568,0.3240918619778507,0.8033767026331378,-0.3368676827921355,1.3506519761447435,5.240697233800655,5.8518280949326815
