"Date","Price","Open","High","Low","Change %"
"Aug 18, 2021","1.3755","1.3741","1.3786","1.3727","0.12%"
"Aug 17, 2021","1.3739","1.3850","1.3855","1.3726","-0.80%"
"Aug 16, 2021","1.3850","1.3839","1.3879","1.3828","-0.09%"
"Aug 13, 2021","1.3863","1.3809","1.3876","1.3791","0.43%"
"Aug 12, 2021","1.3804","1.3873","1.3879","1.3794","-0.49%"
"Aug 11, 2021","1.3872","1.3845","1.3888","1.3802","0.21%"
"Aug 10, 2021","1.3843","1.3846","1.3873","1.3827","-0.01%"
"Aug 09, 2021","1.3844","1.3880","1.3895","1.3841","-0.19%"
"Aug 06, 2021","1.3871","1.3930","1.3937","1.3860","-0.41%"
"Aug 05, 2021","1.3928","1.3889","1.3950","1.3872","0.31%"
"Aug 04, 2021","1.3885","1.3916","1.3958","1.3885","-0.21%"
"Aug 03, 2021","1.3914","1.3883","1.3939","1.3879","0.24%"
"Aug 02, 2021","1.3881","1.3901","1.3934","1.3875","-0.14%"
"Jul 30, 2021","1.3901","1.3961","1.3985","1.3887","-0.43%"
"Jul 29, 2021","1.3961","1.3900","1.3983","1.3895","0.45%"
"Jul 28, 2021","1.3898","1.3881","1.3911","1.3844","0.17%"
"Jul 27, 2021","1.3874","1.3818","1.3895","1.3766","0.42%"
"Jul 26, 2021","1.3816","1.3754","1.3835","1.3736","0.52%"
"Jul 23, 2021","1.3745","1.3767","1.3781","1.3720","-0.13%"
"Jul 22, 2021","1.3763","1.3714","1.3787","1.3690","0.39%"
"Jul 21, 2021","1.3710","1.3629","1.3724","1.3591","0.62%"
"Jul 20, 2021","1.3626","1.3678","1.3690","1.3571","-0.34%"
"Jul 19, 2021","1.3672","1.3787","1.3787","1.3655","-0.73%"
"Jul 16, 2021","1.3772","1.3830","1.3863","1.3759","-0.40%"
"Jul 15, 2021","1.3828","1.3858","1.3900","1.3805","-0.20%"
"Jul 14, 2021","1.3856","1.3814","1.3893","1.3801","0.35%"
"Jul 13, 2021","1.3808","1.3885","1.3907","1.3800","-0.52%"
"Jul 12, 2021","1.3880","1.3902","1.3911","1.3838","-0.14%"
"Jul 09, 2021","1.3899","1.3788","1.3909","1.3756","0.83%"
"Jul 08, 2021","1.3785","1.3801","1.3807","1.3741","-0.11%"
"Jul 07, 2021","1.3800","1.3801","1.3843","1.3754","0.01%"
"Jul 06, 2021","1.3799","1.3844","1.3900","1.3772","-0.33%"
"Jul 05, 2021","1.3845","1.3822","1.3863","1.3817","0.17%"
"Jul 02, 2021","1.3821","1.3769","1.3845","1.3732","0.39%"
"Jul 01, 2021","1.3767","1.3829","1.3836","1.3752","-0.43%"
"Jun 30, 2021","1.3827","1.3839","1.3873","1.3798","-0.06%"
"Jun 29, 2021","1.3835","1.3885","1.3888","1.3814","-0.35%"
"Jun 28, 2021","1.3883","1.3884","1.3941","1.3870","0.04%"
"Jun 25, 2021","1.3877","1.3923","1.3937","1.3871","-0.32%"
"Jun 24, 2021","1.3922","1.3963","1.3987","1.3889","-0.27%"
"Jun 23, 2021","1.3959","1.3948","1.4002","1.3923","0.09%"
"Jun 22, 2021","1.3947","1.3931","1.3965","1.3860","0.13%"
"Jun 21, 2021","1.3929","1.3811","1.3937","1.3786","0.87%"
"Jun 18, 2021","1.3809","1.3921","1.3945","1.3792","-0.79%"
"Jun 17, 2021","1.3919","1.3988","1.4009","1.3895","-0.49%"
"Jun 16, 2021","1.3987","1.4081","1.4133","1.3981","-0.66%"
"Jun 15, 2021","1.4080","1.4114","1.4130","1.4033","-0.23%"
"Jun 14, 2021","1.4112","1.4119","1.4124","1.4069","0.04%"
"Jun 11, 2021","1.4106","1.4177","1.4187","1.4095","-0.47%"
"Jun 10, 2021","1.4173","1.4121","1.4180","1.4073","0.39%"
"Jun 09, 2021","1.4118","1.4159","1.4191","1.4109","-0.26%"
"Jun 08, 2021","1.4155","1.4183","1.4187","1.4121","-0.16%"
"Jun 07, 2021","1.4178","1.4171","1.4191","1.4111","0.17%"
"Jun 04, 2021","1.4154","1.4105","1.4202","1.4082","0.36%"
"Jun 03, 2021","1.4103","1.4171","1.4203","1.4087","-0.46%"
"Jun 02, 2021","1.4168","1.4153","1.4184","1.4111","0.16%"
"Jun 01, 2021","1.4146","1.4213","1.4250","1.4146","-0.44%"
"May 31, 2021","1.4209","1.4180","1.4218","1.4164","0.16%"
"May 28, 2021","1.4187","1.4207","1.4212","1.4136","-0.13%"
"May 27, 2021","1.4205","1.4122","1.4220","1.4091","0.62%"
"May 26, 2021","1.4118","1.4153","1.4177","1.4111","-0.23%"
"May 25, 2021","1.4151","1.4157","1.4211","1.4116","-0.03%"
"May 24, 2021","1.4155","1.4159","1.4173","1.4110","0.06%"
"May 21, 2021","1.4147","1.4190","1.4234","1.4139","-0.30%"
"May 20, 2021","1.4189","1.4110","1.4194","1.4101","0.54%"
"May 19, 2021","1.4113","1.4190","1.4202","1.4100","-0.52%"
"May 18, 2021","1.4187","1.4131","1.4220","1.4129","0.37%"
"May 17, 2021","1.4134","1.4090","1.4147","1.4076","0.27%"
"May 14, 2021","1.4096","1.4052","1.4112","1.4036","0.33%"
"May 13, 2021","1.4050","1.4054","1.4079","1.4004","-0.01%"
"May 12, 2021","1.4052","1.4141","1.4155","1.4050","-0.63%"
"May 11, 2021","1.4141","1.4117","1.4167","1.4103","0.15%"
"May 10, 2021","1.4120","1.3980","1.4159","1.3978","1.06%"
"May 07, 2021","1.3972","1.3887","1.4007","1.3886","0.63%"
"May 06, 2021","1.3885","1.3903","1.3942","1.3856","-0.13%"
"May 05, 2021","1.3903","1.3887","1.3927","1.3874","0.13%"
