"Date","Price","Open","High","Low","Change %"
"Jun 01, 2009","7.7506","7.7513","7.7526","7.7497","-0.02%"
"May 29, 2009","7.7521","7.7530","7.7536","7.7500","-0.02%"
"May 28, 2009","7.7533","7.7530","7.7538","7.7511","-0.01%"
"May 27, 2009","7.7537","7.7520","7.7538","7.7507","0.01%"
"May 26, 2009","7.7527","7.7505","7.7528","7.7497","0.02%"
"May 25, 2009","7.7513","7.7506","7.7530","7.7498","-0.01%"
"May 22, 2009","7.7523","7.7522","7.7532","7.7504","-0.01%"
"May 21, 2009","7.7529","7.7513","7.7538","7.7505","0.01%"
"May 20, 2009","7.7518","7.7510","7.7537","7.7502","0.00%"
"May 19, 2009","7.7516","7.7528","7.7539","7.7498","-0.02%"
"May 18, 2009","7.7534","7.7500","7.7546","7.7493","0.03%"
"May 15, 2009","7.7510","7.7496","7.7523","7.7488","0.01%"
"May 14, 2009","7.7501","7.7497","7.7508","7.7486","-0.00%"
"May 13, 2009","7.7503","7.7496","7.7512","7.7487","0.00%"
"May 12, 2009","7.7503","7.7496","7.7503","7.7485","0.00%"
"May 11, 2009","7.7501","7.7495","7.7504","7.7486","0.00%"
"May 08, 2009","7.7501","7.7496","7.7505","7.7486","-0.00%"
"May 07, 2009","7.7502","7.7496","7.7509","7.7487","0.00%"
"May 06, 2009","7.7501","7.7495","7.7506","7.7490","0.00%"
"May 05, 2009","7.7501","7.7496","7.7507","7.7490","-0.00%"
"May 04, 2009","7.7502","7.7495","7.7509","7.7490","0.00%"
"May 01, 2009","7.7502","7.7495","7.7510","7.7486","0.00%"
"Apr 30, 2009","7.7501","7.7495","7.7509","7.7486","-0.00%"
"Apr 29, 2009","7.7502","7.7496","7.7511","7.7490","0.01%"
"Apr 28, 2009","7.7495","7.7496","7.7523","7.7486","-0.01%"
"Apr 27, 2009","7.7501","7.7499","7.7507","7.7485","0.00%"
"Apr 24, 2009","7.7501","7.7495","7.7507","7.7486","0.00%"
"Apr 23, 2009","7.7501","7.7495","7.7506","7.7486","0.00%"
"Apr 22, 2009","7.7501","7.7495","7.7508","7.7486","-0.01%"
"Apr 21, 2009","7.7508","7.7495","7.7515","7.7487","0.01%"
"Apr 20, 2009","7.7500","7.7495","7.7509","7.7477","0.00%"
"Apr 17, 2009","7.7499","7.7496","7.7508","7.7487","-0.01%"
"Apr 16, 2009","7.7503","7.7497","7.7517","7.7487","0.00%"
"Apr 15, 2009","7.7503","7.7499","7.7512","7.7487","-0.00%"
